sigla,calle_normalizada,habitantes
RD,ENCINAS,82
CL,CLAVELES,77
AV,SAN ROMAN,70
CL,MAR CRISTAL,67
CL,ISLA MALLORCA,64
CL,HINOJOSA,63
CL,CASTILLO,55
CR,SERRANILLOS,54
CL,OLMOS,50
RD,ISLA,50
CL,HERREN HOYEROS,50
CL,CAMINO,49
CL,REINA SOFIA,48
RD,GUADMORA,48
CL,MAR CASTILLA,47
CL,ISLA PALMA,47
RD,GAVIOTAS,46
AV,DELFINES,46
CL,ISLA CRISTINA,44
CL,ALMENDROS,41
AV,MIRAMAR,39
CL,OLIVOS,37
CL,CABO SAN ROQUE,37
CL,TRAMONTANA,37
AV,CASTILLA MANCHA,36
CL,MAR ALBORAN,36
CL,ACACIAS,36
CL,CABO ROSAS,35
CL,VIOLETAS,34
CL,TAHONA,32
CL,CABO SAN ANTONIO,31
CR,SAN ROMAN,31
AV,PLAYA BUNGALOW,29
CL,ERA EMPEDRADA,27
CL,CUESTA MESAS,26
AV,LAGO,24
AV,PLAYA,21
AV,SERRANILLOS,21
CL,SAN LUIS GONZAGA,21
CL,ALISIOS,20
CL,ENEBROS,19
CL,ROSALES,18
CL,ISLA TABARCA,18
CL,SAUCES,18
CL,CEREALES,17
CL,CAROY,16
CL,OLIVILLA,16
CL,JARDINES,15
CL,A,15
CL,CABO SAN VICENTE,15
CL,PINOS,14
PS,PERDICES,14
CL,CABO NAO,14
CL,TIBURCIO PULIDO,14
CL,VIRGEN BUEN CAMINO,14
CL,ISLA MEDAS,14
CL,JUAN CARLOS I,13
CL,MISTRAL,12
CL,ERAS,12
CL,DOCTOR LOPEZ TIMONEDA,11
CL,ISLA IBIZA,11
PJ,SOTAVENTO,10
CL,ABAJO,10
CL,SILO,9
CL,CASTANOS,9
CL,MAR MENOR,9
CL,BAJAMAR,9
CL,MAR CANTABRICO,9
CL,SIROCO,9
PZ,CONSTITUCION,7
CL,CABO ESPARTEL,7
CL,TRILLADORES,7
CL,MAR MEDITERRANEO,7
CL,VICTOR LAZARO,7
CR,TALAVERA,7
CL,BAHIA,7
CL,TALAVERA,7
CL,GRANADILLO,6
PJ,BARLOVENTO,6
CL,ROBLES,6
CL,CERVANTES,6
FN,MALPARTIDA BAJA,6
CL,LAGAR,5
CL,RIBERA,5
CL,VINAS,5
CM,MALPARTIDA,4
PZ,LIBERTAD,4
LG,PRESA ALBERCHE,4
FN,MALPARTIDA ALTA,4
CL,CORREOS,3
CL,HUERTAS,3
FN,NAVAS,3
CL,HERREN LECHUGA,3
CL,RETAMAS,2
CL,IGLESIA,2
FN,SOTO MALPARTIDA,2
PR,MARITORRES,2
CL,MIRAMAR,2
CL,PLEAMAR,1
CJ,OLIVILLA,1
CL,CRISTO,1
CL,ISLA CIES,1
CL,RADA,1
